Ê±¼ä,H1,H2,H3,HT1,HT2
             2.98500,            52.04062,            55.68959,            79.02211,            51.23709,            67.35416
             2.99000,            51.98200,            55.30316,            77.89562,            51.20197,            65.63046
             2.99500,            51.92934,            54.98938,            76.68405,            51.17536,            63.71706
             3.00000,            51.87454,            54.75577,            75.39327,            51.13536,            61.54543
             3.00500,            51.82922,            54.55189,            74.04296,            51.11608,            59.69546
             3.01000,            51.77997,            54.37490,            72.60740,            51.08042,            58.37642
             3.01500,            51.73960,            54.21260,            71.11092,            51.06410,            57.43876
             3.02000,            51.69500,            54.06570,            69.51558,            51.03104,            56.75497
             3.02500,            51.66112,            53.94125,            67.86257,            51.01281,            56.24818
             3.03000,            51.62509,            53.81387,            66.14698,            50.98366,            55.84473
             3.03500,            51.59066,            53.69960,            64.24269,            50.97018,            55.52629
             3.04000,            51.55644,            53.59396,            62.08657,            50.94332,            55.27678
             3.04500,            51.52459,            53.49523,            60.23656,            50.93169,            55.07526
             3.05000,            51.49311,            53.40281,            58.90969,            50.90283,            54.88059
             3.05500,            51.45972,            53.31565,            57.95927,            50.89510,            54.72063
             3.06000,            51.43447,            53.23380,            57.26550,            50.88151,            54.56296
             3.06500,            51.40452,            53.15607,            56.53652,            50.86612,            54.42949
             3.07000,            51.38168,            53.08458,            55.67568,            50.85291,            54.29695
             3.07500,            51.35383,            53.01386,            54.71813,            50.83120,            54.17506
             3.08000,            51.32938,            52.94933,            53.71868,            50.82433,            54.06466
             3.08500,            51.30567,            52.89061,            52.68310,            50.80419,            53.95892
             3.09000,            51.28450,            52.82876,            51.61938,            50.79834,            53.86227
             3.09500,            51.26290,            52.77440,            50.54558,            50.77910,            53.76851
             3.10000,            51.24461,            52.72362,            49.43702,            50.77416,            53.68284
             3.10500,            51.22400,            52.67121,            48.27155,            50.75713,            53.39449
             3.11000,            51.20721,            52.61684,            47.00228,            50.75214,            52.87924
             3.11500,            51.18776,            52.57362,            45.65997,            50.73545,            52.18367
             3.12000,            51.17210,            52.52389,            44.24923,            50.73104,            51.38243
             3.12500,            51.15371,            52.48448,            42.78003,            50.71488,            50.50202
             3.13000,            51.13914,            52.43833,            41.24365,            50.71305,            49.58136
             3.13500,            51.12318,            52.39831,            39.64281,            50.70207,            48.62332
             3.14000,            51.10881,            52.35873,            37.95493,            50.69550,            47.63072
             3.14500,            51.09341,            52.12386,            36.21440,            50.68406,            46.55676
             3.15000,            51.07982,            51.65592,            34.41708,            50.67774,            45.37666
             3.15500,            51.06515,            51.01328,            32.44348,            50.66663,            44.12375
             3.16000,            51.05429,            50.25161,            30.23245,            50.64924,            42.78487
             3.16500,            51.04408,            49.42077,            28.29044,            50.64696,            41.39241
             3.17000,            51.03049,            48.53567,            26.83850,            50.63238,            39.91761
             3.17500,            51.01951,            47.62259,            25.74404,            50.63110,            38.38111
             3.18000,            51.01187,            46.66260,            24.94422,            50.61725,            36.75082
             3.18500,            50.99675,            45.62278,            24.32275,            50.61641,            35.06880
             3.19000,            50.97761,            44.48625,            23.81023,            50.60306,            33.32075
             3.19500,            50.97087,            43.26168,            23.39089,            50.60766,            31.40368
             3.20000,            50.95458,            41.96338,            23.03920,            50.59166,            29.23957
             3.20500,            50.94897,            40.59670,            22.73662,            50.59523,            27.34292
             3.21000,            50.93353,            39.16035,            22.45731,            50.58480,            25.91377
             3.21500,            50.92852,            37.65294,            22.20038,            50.58406,            24.84929
             3.22000,            50.91372,            36.05585,            21.95508,            50.57304,            24.04033
             3.22500,            50.72088,            34.39970,            21.74302,            50.57228,            23.41405
             3.23000,            50.29260,            32.68221,            21.52891,            50.56144,            22.92822
             3.23500,            49.69834,            30.79212,            21.33394,            50.55513,            22.52784
             3.24000,            48.97885,            28.66792,            21.13731,            50.54902,            22.20613
             3.24500,            48.19062,            26.78522,            20.97037,            50.54390,            21.92006
             3.25000,            47.34204,            25.37194,            20.79221,            50.53832,            21.66886
             3.25500,            46.46697,            24.30746,            20.64126,            50.34907,            21.43163
             3.26000,            45.53955,            23.50907,            20.47821,            49.93616,            21.21567
             3.26500,            44.53873,            22.88095,            20.33422,            49.34853,            21.01251
             3.27000,            43.43683,            22.35811,            20.18880,            48.64466,            20.82563
             3.27500,            42.25243,            21.95955,            20.04916,            47.86229,            20.63792
             3.28000,            40.98821,            21.63278,            19.92049,            47.02827,            20.47188
             3.28500,            39.66057,            21.37004,            19.79032,            46.15797,            20.30731
             3.29000,            38.25747,            21.11475,            19.67046,            45.24450,            20.14997
             3.29500,            36.78734,            20.89970,            19.54350,            44.24983,            20.00598
             3.30000,            35.22463,            20.68005,            19.43753,            43.16150,            19.86149
             3.30500,            33.60540,            20.49229,            19.31930,            41.98432,            19.72930
             3.31000,            31.92047,            20.30747,            19.21363,            40.72870,            19.58654
             3.31500,            30.07205,            20.13506,            19.10566,            39.41213,            19.47075
             3.32000,            27.98903,            19.96877,            19.00862,            38.01851,            19.33923
             3.32500,            26.12826,            19.82006,            18.90513,            36.55983,            19.23257
             3.33000,            24.71773,            19.66906,            18.80669,            35.00715,            19.10926
             3.33500,            23.65179,            19.53399,            18.71096,            33.39937,            19.00404
             3.34000,            22.84454,            19.39523,            18.61390,            31.72399,            18.89439
             3.34500,            22.21817,            19.26610,            18.53043,            29.88889,            18.79130
             3.35000,            21.70065,            19.14293,            18.42804,            27.81941,            18.68766
             3.35500,            21.27958,            19.02380,            18.35550,            26.14328,            18.59445
             3.36000,            20.92674,            18.90323,            18.25648,            25.11665,            18.49732
             3.36500,            20.62747,            18.79793,            18.19005,            24.61331,            18.40935
             3.37000,            20.36391,            18.68526,            18.09633,            24.48169,            18.31723
             3.37500,            20.14523,            18.58121,            18.03400,            24.61062,            18.23045
             3.38000,            19.93751,            18.48160,            17.94481,            24.90386,            18.13911
             3.38500,            19.92910,            18.38572,            17.87394,            25.33302,            18.05865
             3.39000,            20.13909,            18.28597,            17.79745,            25.88111,            17.97555
             3.39500,            20.54097,            18.19924,            17.72431,            26.55077,            17.89995
             3.40000,            21.06044,            18.10562,            17.65704,            27.33793,            17.81185
             3.40500,            21.67714,            18.01940,            17.58691,            28.27205,            17.74677
             3.41000,            22.34631,            17.93282,            17.52236,            29.30105,            17.66370
             3.41500,            23.06857,            17.84328,            17.45584,            30.40788,            17.60241
             3.42000,            23.83114,            17.75795,            17.39312,            31.59523,            17.52350
